t,trajectory,value,epoch
0,1,78.59740259740259,0
0,2,41.02980719720807,0
1,1,79.50936038857961,0
1,2,40.45966737743748,0
2,1,80.50716108844698,0
2,2,39.89008159368308,0
3,1,81.5591442508252,0
3,2,39.32100992176587,0
4,1,82.63364942953478,0
4,2,38.752412437506905,0
5,1,83.69901617839618,0
5,2,38.184249216727224,0
6,1,84.72358405122988,0
6,2,37.61648033524788,0
7,1,85.67569260185644,0
7,2,37.04906586888995,0
8,1,86.52368138409622,0
8,2,36.48196589347444,0
9,1,87.23588995176982,0
9,2,35.91514048482239,0
10,1,87.78065785869762,0
10,2,35.34854971875487,0
11,1,88.1264835005619,0
11,2,34.782153671092935,0
12,1,88.25662427652101,0
12,2,34.215912417657606,0
13,1,88.18086989372081,0
13,2,33.649786034269944,0
14,1,87.91178059136303,0
14,2,33.083734596751,0
15,1,87.46191660864956,0
15,2,32.517718180921804,0
16,1,86.84383818478213,0
16,2,31.951696862603416,0
17,1,86.07010555896265,0
17,2,31.385630717616873,0
18,1,85.15327897039288,0
18,2,30.819479821783222,0
19,1,84.10591865827467,0
19,2,30.25320425092351,0
20,1,82.94058486180981,0
20,2,29.686764080858797,0
21,1,81.66983782020016,0
21,2,29.12011938741011,0
22,1,80.30623777264752,0
22,2,28.553230246398506,0
23,1,78.86234495835367,0
23,2,27.98605673364502,0
24,1,77.35071961652048,0
24,2,27.418558924970714,0
25,1,75.78392198634974,0
25,2,26.850696896196624,0
26,1,74.17451230704327,0
26,2,26.282430723143808,0
27,1,72.53505081780287,0
27,2,25.71372048163329,0
28,1,70.8780977578304,0
28,2,25.14452624748613,0
29,1,69.21621336632765,0
29,2,24.574808096523384,0
30,1,67.56195788249646,0
30,2,24.004526104566082,0
31,1,65.9278915455386,0
31,2,23.43364034743528,0
32,1,64.32657459465594,0
32,2,22.862110900952015,0
33,1,62.77056726905027,0
33,2,22.28989784093734,0
34,1,61.272429807923416,0
34,2,21.716961243212296,0
35,1,59.84472245047719,0
35,2,21.143261183597946,0
36,1,58.50000543591342,0
36,2,20.568757737915313,0
37,1,57.25083900343391,0
37,2,19.99341098198546,0
38,1,56.10978339224049,0
38,2,19.41718099162942,0
39,1,55.08939884153495,0
39,2,18.84002784266825,0
40,1,54.20224559051914,0
40,2,18.261911610922994,0
41,1,53.46088387839489,0
41,2,17.682792372214692,0
42,1,52.877873944363984,0
42,2,17.1026302023644,0
43,1,52.46577602762824,0
43,2,16.52138892462335,0
44,1,52.23715036738952,0
44,2,15.94014619504655,0
45,1,52.20455720284959,0
45,2,15.362643685030537,0
46,1,52.38055677321027,0
46,2,14.793012988977388,0
47,1,52.77770931767341,0
47,2,14.235385701289173,0
48,1,53.408575075440815,0
48,2,13.69389341636797,0
49,1,54.285714285714285,0
49,2,13.169928662886406,0
