epoch,t,trajectory,value
0,0,0,44.118441880674766
0,0,1,41.51515204975117
0,0,2,15.227161497877525
0,1,0,46.21308446639901
0,1,1,46.5258689521886
0,1,2,32.26215115626131
0,2,0,47.00236375995564
0,2,1,48.45354196818003
0,2,2,38.62461213496671
0,3,0,47.29991838004454
0,3,1,49.22588181004352
0,3,2,40.98453173370109
0,4,0,47.40905522055935
0,4,1,49.56258001431408
0,4,2,41.84383574501569
0,5,0,47.44170355937841
0,5,1,49.73032597522327
0,5,2,42.141423438586116
0,6,0,47.43803733561988
0,6,1,49.82594540031529
0,6,2,42.23006401945726
0,7,0,47.41296978360911
0,7,1,49.883666554170254
0,7,2,42.24255401686469
0,8,0,47.37522221134367
0,8,1,49.91644351017513
0,8,2,42.228866437631844
0,9,0,47.33178858908444
0,9,1,49.929653380064224
0,9,2,42.20785017831523
0,10,0,47.2881765304456
0,10,1,49.92604799568153
0,10,2,42.18657845657119
0,11,0,47.246977961807346
0,11,1,49.90792414035673
0,11,2,42.16742365596147
0,12,0,47.209142091127255
0,12,1,49.87753551590335
0,12,2,42.15092273572844
0,13,0,47.174974283755994
0,13,1,49.837122361161114
0,13,2,42.1369308795916
0,14,0,47.144546282155474
0,14,1,49.78892491496977
0,14,2,42.1250331645
0,15,0,47.117836011722034
0,15,1,49.73518072357428
0,15,2,42.11473168279255
0,16,0,47.094790125496814
0,16,1,49.67812733321962
0,16,2,42.105478085182334
0,17,0,47.075340560118526
0,17,1,49.620002290150765
0,17,2,42.09672239523323
0,18,0,47.05941373357495
0,18,1,49.56304448691006
0,18,2,42.08789999216613
0,19,0,47.04693422430357
0,19,1,49.50949281603985
0,19,2,42.07845113664959
0,20,0,47.03783396894308
0,20,1,49.46158347748775
0,20,2,42.06781283505374
0,21,0,47.03203202728007
0,21,1,49.4215553637961
0,21,2,42.055423720897906
0,22,0,47.029456656852595
0,22,1,49.391641982317736
0,22,2,42.04071754625379
0,23,0,47.03003243609817
0,23,1,49.37408087929762
0,23,2,42.0231329446407
0,24,0,47.03368210390394
0,24,1,49.371110947278126
0,24,2,42.00210692242877
0,25,0,47.04002855245734
0,25,1,49.38473009157063
0,25,2,41.97711553756939
0,26,0,47.047883432261116
0,26,1,49.41525603835674
0,26,2,41.948005838035925
0,27,0,47.05662497531206
0,27,1,49.46144615515503
0,27,2,41.91504142200192
0,28,0,47.06600852141957
0,28,1,49.521396777470684
0,28,2,41.87868928129331
0,29,0,47.07593105576654
0,29,1,49.592943059117246
0,29,2,41.83948474800325
0,30,0,47.08635026869595
0,30,1,49.6738353371733
0,30,2,41.797981052866305
0,31,0,47.097242246053824
0,31,1,49.761778174606576
0,31,2,41.75475257955689
0,32,0,47.10859779008865
0,32,1,49.85446536400572
0,32,2,41.71037045745099
0,33,0,47.12040034484767
0,33,1,49.94959204425679
0,33,2,41.665413951670665
0,34,0,47.13264071257936
0,34,1,50.04483989127202
0,34,2,41.62045581874112
0,35,0,47.14530785598188
0,35,1,50.13789865874794
0,35,2,41.57607369663522
0,36,0,47.15839441685402
0,36,1,50.226458100381095
0,36,2,41.532841969027366
0,37,0,47.17188751834364
0,37,1,50.308210662462756
0,37,2,41.49133339244276
0,38,0,47.18577980224952
0,38,1,50.380851483878956
0,38,2,41.45212723200348
0,39,0,47.200056552169215
0,39,1,50.44207570351577
0,39,2,41.41579624423473
0,40,0,47.21471408900211
0,40,1,50.48958115285397
0,40,2,41.3829148128109
0,41,0,47.22948383840363
0,41,1,50.521124900459085
0,41,2,41.35402315127283
0,42,0,47.24193207531982
0,42,1,50.535088696880784
0,42,2,41.3293734677495
0,43,0,47.24976855962054
0,43,1,50.531873738738184
0,43,2,41.30871355411192
0,44,0,47.252605146191364
0,44,1,50.513962598399374
0,44,2,41.291400686418456
0,45,0,47.25094403226565
0,45,1,50.484734482287244
0,45,2,41.27661966291024
0,46,0,47.245620373682016
0,46,1,50.447902478574875
0,46,2,41.263498331605724
0,47,0,47.23759625525015
0,47,1,50.40731430517329
0,47,2,41.25114013328506
0,48,0,47.22788342963799
