epoch,row,column,value
0,0,0,0.072713666
0,0,1,-0.11232297
0,0,2,0.04616134
0,0,3,-0.042177945
0,0,4,0.04083324
0,1,0,-0.13013566
0,1,1,0.041780736
0,1,2,-0.07417316
0,1,3,0.121696055
0,1,4,-0.0076676235
0,2,0,0.06824824
0,2,1,-0.18008578
0,2,2,0.17080322
0,2,3,-0.14033422
0,2,4,-0.021165185
0,3,0,-0.11643383
0,3,1,0.017666526
0,3,2,-0.12225727
0,3,3,0.089095466
0,3,4,-0.12124936
0,4,0,0.15753452
0,4,1,-0.034083053
0,4,2,0.17709333
0,4,3,-0.03922946
0,4,4,0.077937186
10,0,0,0.943659
10,0,1,-1.0370266
10,0,2,0.8928594
10,0,3,-0.96516705
10,0,4,0.83933526
10,1,0,-0.705072
10,1,1,0.9688087
10,1,2,-0.7995213
10,1,3,1.0483029
10,1,4,-0.6235038
10,2,0,0.75257343
10,2,1,-1.0877868
10,2,2,1.1053712
10,2,3,-1.0470624
10,2,4,-0.51300853
10,3,0,-0.68817264
10,3,1,0.93548846
10,3,2,-0.82907027
10,3,3,1.0068161
10,3,4,-0.7509861
10,4,0,0.67546475
10,4,1,-0.95256597
10,4,2,0.8677478
10,4,3,-0.957682
10,4,4,0.66745925
20,0,0,1.4374386
20,0,1,-1.5943881
20,0,2,1.3156669
20,0,3,-1.5151573
20,0,4,1.1280645
20,1,0,-0.6920246
20,1,1,1.4498576
20,1,2,-1.0224491
20,1,3,1.5312726
20,1,4,-0.77683806
20,2,0,0.74783915
20,2,1,-1.6491064
20,2,2,1.7920057
20,2,3,-1.6047237
20,2,4,-0.5815202
20,3,0,-0.68541646
20,3,1,1.3520246
20,3,2,-1.017406
20,3,3,1.4277898
20,3,4,-0.96964276
20,4,0,0.6760158
20,4,1,-1.365252
20,4,2,1.0742167
20,4,3,-1.3750831
20,4,4,0.916574
30,0,0,1.695076
30,0,1,-1.7940986
30,0,2,1.4957095
30,0,3,-1.7055929
30,0,4,1.1957866
30,1,0,-0.6828926
30,1,1,1.4936036
30,1,2,-1.0860821
30,1,3,1.5820719
30,1,4,-1.0124391
30,2,0,0.5000664
30,2,1,-1.9190313
30,2,2,2.206018
30,2,3,-1.8707227
30,2,4,-0.3884208
30,3,0,-0.6093558
30,3,1,1.3118664
30,3,2,-1.0077841
30,3,3,1.398206
30,3,4,-1.2207506
30,4,0,0.59001327
30,4,1,-1.3386337
30,4,2,1.0643798
30,4,3,-1.3586818
30,4,4,1.1952842
40,0,0,1.8217409
40,0,1,-1.8219131
40,0,2,1.555645
40,0,3,-1.7235458
40,0,4,1.156768
40,1,0,-0.47927192
40,1,1,1.3757489
40,1,2,-0.9654557
40,1,3,1.4727441
40,1,4,-1.1170667
40,2,0,0.2917215
40,2,1,-2.0274863
40,2,2,2.4219577
40,2,3,-1.9762312
40,2,4,-0.21733624
40,3,0,-0.32876328
40,3,1,1.1369176
40,3,2,-0.8250353
40,3,3,1.2349231
40,3,4,-1.334683
40,4,0,0.28607678
40,4,1,-1.1745034
40,4,2,0.8692495
40,4,3,-1.2058506
40,4,4,1.3297752
50,0,0,1.8717045
50,0,1,-1.7909541
50,0,2,1.5508052
50,0,3,-1.6813562
50,0,4,1.038955
50,1,0,-0.28530917
50,1,1,1.2156472
50,1,2,-0.8362599
50,1,3,1.3218441
50,1,4,-1.2457361
50,2,0,0.18010965
50,2,1,-2.055235
50,2,2,2.5197659
50,2,3,-2.0019042
50,2,4,-0.1408541
50,3,0,-0.10733842
50,3,1,0.9901364
50,3,2,-0.6844768
50,3,3,1.0998544
50,3,4,-1.4921811
50,4,0,0.06734316
50,4,1,-1.0268005
