t,traj_0,traj_1,traj_2,traj_3,traj_4
0,0.5782054514027739,0.0,0.9999999998189406,0.0,0.9999999998819165
1,0.6124240751598439,0.020565440427021624,0.9828296187048833,0.02038267671652373,0.9795897149187398
2,0.6515302783601385,0.04140063912059462,0.9632152965086791,0.04076420491061559,0.9591755899605293
3,0.6941068278667138,0.06248795654454649,0.9413195774854263,0.06114528005787128,0.9387578760849637
4,0.7387364905426266,0.08380975316270273,0.9173050058902219,0.08152659763388624,0.9183368243697209
5,0.7840020332509345,0.10534838943889126,0.8913341259781644,0.10190885311425622,0.89791268589248
6,0.8284862228546941,0.12708622583693918,0.8635694820043517,0.12229274197457667,0.8774857117309189
7,0.8707718262169638,0.1490056228206736,0.8341736182238815,0.1426789596904436,0.8570561529627166
8,0.9094416102007988,0.171088940853921,0.8033090788918525,0.16306818264274756,0.8366242606655511
9,0.9430783416692567,0.1933185404005083,0.7711384082633619,0.18346066357242258,0.8161902859171009
10,0.9702647874853941,0.21567678192426265,0.7378241505935077,0.20385624003711544,0.7957544797950444
11,0.9895837145122693,0.23814602588901168,0.7035288501373888,0.22425473219131792,0.7753170933770603
12,0.9996463048860369,0.26070863275858214,0.6684150511501017,0.24465596018952154,0.7548783777408269
13,0.9999999997869513,0.2833469629968002,0.6326452978867452,0.2650597441862182,0.7344385839640227
14,0.9913191459020685,0.3060433770674934,0.5963821346024168,0.28546590433589947,0.7139979631243265
15,0.9743450455325712,0.328780235434489,0.559788105552215,0.3058742607930569,0.6935567662994162
16,0.9498190009796402,0.3515398985616134,0.5230257549912378,0.3262846337121826,0.6731152445669699
17,0.9184823145444597,0.3743047269126941,0.48625762717458243,0.3466968432477677,0.6526736490046667
18,0.8810762885282107,0.39705708095155795,0.4496462663573475,0.36711070955430414,0.6322322306901847
19,0.8383422252320775,0.41977932114203154,0.41335421679463064,0.387526052786284,0.6117912407012028
20,0.7910214269572406,0.4424538079479422,0.37754402274153,0.40794269309819836,0.5913509301153992
21,0.7398551960048838,0.4650629018331172,0.3423782284531433,0.42836045064453915,0.5709115500104519
22,0.6855848346761899,0.48758896326138373,0.3080193781845688,0.4487791455797982,0.5504733514640403
23,0.6289516452723395,0.5100143526965676,0.27463001619090427,0.4691985980584672,0.530036585553842
24,0.5706969300945165,0.5323214306024969,0.24237268672724743,0.48961862823503766,0.5096015033575356
25,0.5115619914439029,0.5544925574429982,0.2114099340486966,0.5100390562640013,0.4891683559527999
26,0.4522881316216816,0.5765100936818978,0.1819043024103497,0.5304597022998497,0.46873739441731305
27,0.393616652929034,0.5983563997830241,0.1540183360673045,0.550880386497075,0.44830886982875334
28,0.33628885766714334,0.6200138362102035,0.127914579274659,0.5713009290101685,0.4278830332647996
29,0.2810460481371923,0.6414647634272624,0.10375557628751111,0.5917211499936224,0.4074601358031299
30,0.22862952664036235,0.6626915418980286,0.08170387136095908,0.6121408696019273,0.38704042852142323
31,0.17978059547783695,0.6836765320863287,0.06192200875010052,0.6325599079895762,0.36662416249735746
32,0.135240556950798,0.7044020944559897,0.044572532710033565,0.6529780853110596,0.3462115888086113
33,0.09575071336042827,0.7248505894708388,0.029817987495856017,0.6733952313864927,0.32580295853286295
34,0.0620523670079099,0.7450043775947027,0.01782091736266597,0.6938113288549321,0.3053985227477914
35,0.03488682019442551,0.7648458192914084,0.008743866565561318,0.7142264823318935,0.2849985325310745
36,0.014995375221157422,0.7843572750247833,0.0027493793596399967,0.7346407998315873,0.264603238960391
37,0.0031193343892879453,0.8035211052586541,0.0,0.7550543893682241,0.24421289311341932
38,0.0,0.8223196704568474,0.0006582727417393236,0.7754673589560148,0.22382774606783765
39,0.006378659867173539,0.8407353310831911,0.004886741839955802,0.7958798166091696,0.20344804890132484
40,0.022573688027266982,0.8587504476015113,0.012847951549747431,0.816291870341899,0.18307405269155902
41,0.04737365830810232,0.8763473804756351,0.024704446126212302,0.8367036281684139,0.16270600851621878
42,0.07922135340819568,0.8935084901693904,0.04059562344166138,0.8571151981029249,0.1423441674529826
43,0.11655955602606438,0.9102161371466035,0.060160916964551066,0.8775266881596422,0.1219887805795287
44,0.15783104886022412,0.9264526818711011,0.08255716084187496,0.8979382063527764,0.10164009897353583
45,0.20147861460919292,0.9422004848067107,0.10692151721488323,0.9183498606965385,0.08129837371268218
46,0.2459450359714865,0.957441906417259,0.13239114822482587,0.9387617592051389,0.060963855874646276
47,0.2896730956456225,0.9721593071665732,0.15810321601295255,0.9591740098927881,0.04063679653710654
48,0.3311055763301167,0.9863350475184801,0.18319488272051346,0.9795867207736966,0.020317003738856133
49,0.3686852607234865,0.9999999997154675,0.20680331048875858,0.999999999862075,0.0
